distance,consume,speed,gas_SP98,temp_inside,temp_outside,AC,rain,snow,sun,trip_price
16.0,4.2,41,0,22.0,15,0,0,0,0,5.7959997367858875
15.4,4.1,45,0,22.0,24,0,0,0,0,5.657999868392944
16.0,4.0,43,0,22.0,16,0,0,0,0,5.52
21.0,3.8,37,0,22.0,21,0,0,0,0,5.243999934196472
15.4,3.8,47,0,22.0,24,0,0,0,0,5.243999934196472
16.0,3.8,42,0,22.0,17,0,0,0,0,5.243999934196472
16.1,5.1,30,0,25.0,16,1,1,0,0,7.037999868392944
16.0,4.0,42,0,22.0,15,0,0,0,0,5.52
15.4,4.8,40,0,22.0,18,0,0,0,0,6.6240002632141115
17.2,3.9,35,0,22.0,16,0,0,0,0,5.3820001316070565
16.6,4.6,50,0,22.0,25,0,0,0,0,6.347999868392943
18.3,4.3,46,1,22.0,16,0,0,0,0,6.2780002784729
16.1,4.8,36,1,22.0,18,0,1,0,0,7.008000278472901
16.0,4.1,46,1,22.0,17,0,0,0,0,5.98599986076355
16.3,4.0,35,1,22.0,23,0,0,0,0,5.84
16.0,3.7,44,1,22.0,16,0,0,0,0,5.402000069618225
18.3,4.3,46,1,22.0,23,0,0,0,0,6.2780002784729
4.5,5.2,23,1,22.0,23,0,0,0,1,7.5919997215271
17.0,4.2,48,1,22.0,16,0,0,0,0,6.1319997215271
6.1,5.0,35,1,24.5,18,0,0,0,0,7.3
6.1,5.0,33,1,22.0,24,0,0,0,1,7.3
17.3,4.2,36,1,22.0,22,0,0,0,0,6.1319997215271
6.0,4.8,27,1,22.0,17,0,0,0,0,7.008000278472901
16.0,4.1,45,1,22.0,15,0,0,0,0,5.98599986076355
15.4,4.9,55,1,22.0,18,0,0,0,0,7.15400013923645
15.4,4.3,39,1,22.0,23,0,0,0,0,6.2780002784729
16.0,3.9,35,1,22.0,18,0,0,0,0,5.69400013923645
15.4,4.5,52,1,22.0,26,0,0,0,0,6.57
16.6,4.1,48,1,25.5,30,1,0,0,1,5.98599986076355
15.4,5.0,48,1,25.5,31,1,0,0,0,7.3
16.0,4.0,43,1,22.0,21,1,0,0,0,5.84
15.4,4.5,42,1,22.0,30,0,0,0,0,6.57
16.0,3.6,43,1,22.0,19,0,0,0,0,5.2559998607635485
20.9,4.1,33,1,22.0,21,0,0,0,0,5.98599986076355
32.1,3.9,47,1,22.0,26,0,0,0,0,5.69400013923645
15.3,6.6,16,1,24.0,27,1,0,0,0,9.635999860763551
28.5,4.0,44,1,25.0,23,1,0,0,0,5.84
11.9,3.7,33,1,25.0,19,0,0,0,0,5.402000069618225
14.5,4.3,36,1,25.0,22,0,0,0,0,6.2780002784729
16.6,4.1,49,1,22.0,26,0,0,0,1,5.98599986076355
16.2,4.4,39,1,24.5,17,1,0,0,0,6.42400013923645
16.7,3.8,44,1,24.5,23,0,0,0,1,5.547999930381775
8.3,5.0,52,1,24.5,27,0,0,0,0,7.3
5.5,3.7,33,1,24.5,28,0,0,0,1,5.402000069618225
13.6,3.7,33,1,24.5,28,0,0,0,1,5.402000069618225
16.0,3.7,39,1,24.5,18,0,0,0,0,5.402000069618225
16.1,4.3,38,1,25.0,31,1,0,0,0,6.2780002784729
16.0,3.8,45,1,25.0,19,0,0,0,0,5.547999930381775
15.4,4.6,42,1,25.0,31,1,0,0,0,6.7159998607635485
14.7,5.0,25,1,25.0,30,1,0,0,0,7.3
