distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun
4.5,4.5,23,22.0,23,SP98,0,0,1
17.0,17.0,48,22.0,16,SP98,0,0,0
6.1,6.1,35,24.5,18,SP98,0,0,0
6.1,6.1,33,22.0,24,SP98,0,0,1
17.3,17.3,36,22.0,22,SP98,0,0,0
6.0,6.0,27,22.0,17,SP98,0,0,0
16.0,16.0,45,22.0,15,SP98,0,0,0
15.4,15.4,55,22.0,18,SP98,0,0,0
15.4,15.4,39,22.0,23,SP98,0,0,0
16.0,16.0,35,22.0,18,SP98,0,0,0
15.4,15.4,52,22.0,26,SP98,0,0,0
16.6,16.6,48,25.5,30,SP98,1,0,1
15.4,15.4,48,25.5,31,SP98,1,0,0
16.0,16.0,43,22.0,21,SP98,1,0,0
15.4,15.4,42,22.0,30,SP98,0,0,0
16.0,16.0,43,22.0,19,SP98,0,0,0
20.9,20.9,33,22.0,21,SP98,0,0,0
32.1,32.1,47,22.0,26,SP98,0,0,0
15.3,15.3,16,24.0,27,SP98,1,0,0
28.5,28.5,44,25.0,23,SP98,1,0,0
11.9,11.9,33,25.0,19,SP98,0,0,0
14.5,14.5,36,25.0,22,SP98,0,0,0
16.6,16.6,49,22.0,26,SP98,0,0,1
16.2,16.2,39,24.5,17,SP98,1,0,0
16.7,16.7,44,24.5,23,SP98,0,0,1
8.3,8.3,52,24.5,27,SP98,0,0,0
5.5,5.5,33,24.5,28,SP98,0,0,1
13.6,13.6,33,24.5,28,SP98,0,0,1
16.0,16.0,39,24.5,18,SP98,0,0,0
16.1,16.1,38,25.0,31,SP98,1,0,0
16.0,16.0,45,25.0,19,SP98,0,0,0
15.4,15.4,42,25.0,31,SP98,1,0,0
14.7,14.7,25,25.0,30,SP98,1,0,0
